mouse_id,sex,genotype,age,pixel_to_micrometer,width_in_micrometer,height_in_micrometer,side,n_cells,total_cell_area,mean_cell_area,cell_area_pct,n_plaques,total_plaque_area,mean_plaque_area,plaque_area_pct,intra_plaque_pct,sub_area,sub_width,sub_height
1179202,Female,5XFAD,6 months,0.171785332,1445.23,809.45,LEFT,154,19091.41756,123.9702439,0.031850326,66,76526.35327,1159.490201,0.127669374,0,599410.4226,1335.802743,608.1200761
1179202,Female,5XFAD,6 months,0.171785332,1445.23,809.45,RIGHT,161,19517.63338,121.2275365,0.032561385,33,35759.04432,1083.607403,0.059657028,0,599410.4226,1335.802743,608.1200761
1179202,Female,5XFAD,6 months,0.171785332,1445.23,809.45,TOTAL,315,38609.05094,122.5684157,0.064411711,99,112285.3976,1134.195935,0.187326402,0.003433295,599410.4226,1335.802743,608.1200761
1095199,Male,5XFAD,6 months,0.171784619,1288.9,1125.71,LEFT,162,19084.41283,117.8050174,0.031106363,82,71275.1004,869.2085415,0.116173822,0,613521.1818,1193.559536,748.2938025
1095199,Male,5XFAD,6 months,0.171784619,1288.9,1125.71,RIGHT,248,24510.43785,98.83241069,0.039950435,55,43343.72096,788.0676538,0.070647473,0,613521.1818,1193.559536,748.2938025
1095199,Male,5XFAD,6 months,0.171784619,1288.9,1125.71,TOTAL,410,43594.85068,106.3289041,0.071056798,137,114618.8214,836.6337325,0.186821294,0.004389496,613521.1818,1193.559536,748.2938025
1095200,Male,5XFAD,6 months,0.137731256,1414.5,1154.6,LEFT,160,20584.6167,128.6538544,0.032157249,102,75318.75055,738.419123,0.117662809,0,640123.6832,1252.803505,733.8321324
1095200,Male,5XFAD,6 months,0.137731256,1414.5,1154.6,RIGHT,171,21372.89188,124.9876718,0.033388691,82,54422.30665,663.6866665,0.085018424,0,640123.6832,1252.803505,733.8321324
1095200,Male,5XFAD,6 months,0.137731256,1414.5,1154.6,TOTAL,331,41957.50857,126.7598446,0.06554594,184,129741.0572,705.1144413,0.202681233,0.003419582,640123.6832,1252.803505,733.8321324
1095202,Male,5XFAD,6 months,0.137730617,1291.5,1034.36,LEFT,116,13377.18308,115.3205438,0.022555593,58,45849.72561,790.5125106,0.077308335,0,593076.0968,1099.64125,834.0966194
1095202,Male,5XFAD,6 months,0.137730617,1291.5,1034.36,RIGHT,154,17757.44387,115.3080771,0.029941257,59,45751.53833,775.4498022,0.077142779,0,593076.0968,1099.64125,834.0966194
1095202,Male,5XFAD,6 months,0.137730617,1291.5,1034.36,TOTAL,270,31134.62695,115.3134331,0.05249685,117,91601.26394,782.9167858,0.154451114,0.001433678,593076.0968,1099.64125,834.0966194
1095203,Male,5XFAD,6 months,0.171784572,1449.69,967.84,LEFT,108,15197.23498,140.7151387,0.023844335,62,65009.27435,1048.536683,0.101999011,0,637352.0044,1183.252129,696.7582225
1095203,Male,5XFAD,6 months,0.171784572,1449.69,967.84,RIGHT,154,17748.57578,115.2504921,0.027847368,61,54806.7441,898.4712148,0.085991326,0,637352.0044,1183.252129,696.7582225
1095203,Male,5XFAD,6 months,0.171784572,1449.69,967.84,TOTAL,262,32945.81076,125.7473693,0.051691703,123,119816.0185,974.1139712,0.187990338,0.001454356,637352.0044,1183.252129,696.7582225
1179205,Male,5XFAD,6 months,0.171784087,1131.37,810.82,LEFT,253,30409.43714,120.1954037,0.07182017,50,47058.17218,941.1634436,0.111140693,0,423410.8223,1092.546796,483.7439903
1179205,Male,5XFAD,6 months,0.171784087,1131.37,810.82,RIGHT,263,27281.78486,103.7330223,0.064433367,20,15132.34585,756.6172927,0.035739157,0,423410.8223,1092.546796,483.7439903
1179205,Male,5XFAD,6 months,0.171784087,1131.37,810.82,TOTAL,516,57691.22201,111.8046938,0.136253537,70,62190.51803,888.4359719,0.14687985,0.00612232,423410.8223,1092.546796,483.7439903
1142874,Female,5XFAD,6 weeks,0.171784426,1286.15,810.14,LEFT,261,37776.19928,144.7363957,0.078502971,181,4430.880343,24.4800019,0.009207842,0,481207.2566,1056.817791,606.0554561
1142874,Female,5XFAD,6 weeks,0.171784426,1286.15,810.14,RIGHT,218,25705.50374,117.9151548,0.053418778,70,1255.114605,17.93020864,0.002608262,0,481207.2566,1056.817791,606.0554561
1142874,Female,5XFAD,6 weeks,0.171784426,1286.15,810.14,TOTAL,479,63481.70301,132.5296514,0.131921749,251,5685.994948,22.65336633,0.011816104,0.074865497,481207.2566,1056.817791,606.0554561
1179201,Male,5XFAD,10 weeks,0.171784303,1608.76,971.27,LEFT,223,31360.32081,140.6292413,0.056417195,7,969.0443507,138.4349072,0.00174331,0,555864.5909,1245.09263,571.011024
1179201,Male,5XFAD,10 weeks,0.171784303,1608.76,971.27,RIGHT,319,35628.1529,111.6869997,0.064095021,12,2263.552802,188.6294002,0.00407213,0,555864.5909,1245.09263,571.011024
1179201,Male,5XFAD,10 weeks,0.171784303,1608.76,971.27,TOTAL,542,66988.47371,123.59497,0.120512216,19,3232.597153,170.1366923,0.00581544,0.000114936,555864.5909,1245.09263,571.011024
1179204,Male,5XFAD,10 weeks,0.171785205,1444.37,977.11,LEFT,216,30689.02824,142.0788344,0.057790891,16,1761.520262,110.0950164,0.003317141,0,531035.7385,1080.185366,853.9442519
1179204,Male,5XFAD,10 weeks,0.171785205,1444.37,977.11,RIGHT,285,31814.10296,111.6284314,0.059909533,16,2934.903105,183.4314441,0.005526753,0,531035.7385,1080.185366,853.9442519
1179204,Male,5XFAD,10 weeks,0.171785205,1444.37,977.11,TOTAL,501,62503.1312,124.7567489,0.117700423,32,4696.423368,146.7632302,0.008843893,8.29E-05,531035.7385,1080.185366,853.9442519
